	 miRNAs 	 %DEmiRNA 	 Score 	 Total_miRNAs 	 TS_Gene(s) 	 Module
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 66.67 	 6.590 	 3 	 ARHGAP12,1; C16orf70,1; CNOT4,1; HSPA8,1; LDLR,1; MAVS,1; QKI,1; RPS27A,1; SMAD4,1; TGFBR2,1;  	 21.27659574468085 	 ['47', 'hsa-miR-93-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1']
Only in Control:  	 hsa-miR-142-3p is UP, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 66.67 	 5.485 	 3 	 C16orf70,1; MFSD8,1;  	 20.408163265306122 	 ['11', 'hsa-miR-93-5p', 'hsa-miR-519d-3p', 'hsa-miR-142-3p', 'MFSD8', 'WASL', 'HMGB1', 'YOD1', 'SUCO', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'C16orf70', 'PPP1R15B']
Only in Control:  	 hsa-miR-4428 is UP, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 66.67 	 7.013 	 3 	 LDLR,1; MECP2,1; MIDN,1;  	 60.0 	 ['5', 'hsa-miR-93-5p', 'hsa-miR-519d-3p', 'hsa-miR-4428', 'WAC', 'MIDN', 'MAPRE3', 'LDLR', 'MECP2']
Only in Control:  	 hsa-miR-519d-3p is DOWN, hsa-miR-6739-5p is UP, hsa-miR-93-5p is not DE 	 66.67 	 5.950 	 3 	 ACVR1B,1; CCND1,1;  	 23.076923076923077 	 ['6', 'hsa-miR-93-5p', 'hsa-miR-519d-3p', 'hsa-miR-6739-5p', 'MINK1', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-34b-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 6.340 	 3 	 CNOT4,1; TGFBR2,1;  	 66.66666666666666 	 ['3', 'hsa-miR-34b-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'ARHGAP1', 'CNOT4', 'TGFBR2']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-34a-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 6.084 	 3 	 CNOT4,1; SMAD4,1;  	 57.14285714285714 	 ['5', 'hsa-miR-34a-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'RRAGD', 'ARHGAP1', 'CNOT4', 'TXNIP', 'SMAD4']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-26a-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 7.227 	 3 	 C16orf70,1; HSPA8,1; SMAD4,1;  	 75.0 	 ['4', 'hsa-miR-26a-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'HSPA8', 'C16orf70', 'SMAD4', 'NABP1']
Only in Control:  	 hsa-miR-17-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-519d-3p is DOWN 	 66.67 	 6.220 	 3 	 ARHGAP12,1; CCND1,1; FOXK1,1;  	 30.0 	 ['10', 'hsa-miR-195-5p', 'hsa-miR-17-5p', 'hsa-miR-519d-3p', 'ELK4', 'MINK1', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 hsa-miR-16-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-519d-3p is DOWN 	 66.67 	 6.220 	 3 	 ARHGAP12,1; CCND1,1; FOXK1,1;  	 30.0 	 ['10', 'hsa-miR-195-5p', 'hsa-miR-16-5p', 'hsa-miR-519d-3p', 'ELK4', 'MINK1', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-16-5p is not DE, hsa-miR-195-5p is DOWN 	 66.67 	 6.114 	 3 	 ARHGAP12,1; FZD6,1; RPRD2,1;  	 27.27272727272727 	 ['11', 'hsa-miR-195-5p', 'hsa-miR-16-5p', 'hsa-miR-130a-3p', 'PPIG', 'ZMAT3', 'GPRC5A', 'SIK1', 'RPRD2', 'UBN2', 'CEP55', 'FZD6', 'PRKAA1', 'ARHGAP12', 'DICER1']
Only in Control:  	 hsa-miR-142-3p is UP, hsa-miR-16-5p is not DE, hsa-miR-195-5p is DOWN 	 66.67 	 6.340 	 3 	 HMGA1,1; KIF5B,1;  	 25.0 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-16-5p', 'hsa-miR-142-3p', 'KIF5B', 'HSPA1B', 'HMGA1']
Only in Control:  	 hsa-miR-16-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-6739-5p is UP 	 66.67 	 6.084 	 3 	 CCND1,1; GRB2,1;  	 60.0 	 ['5', 'hsa-miR-195-5p', 'hsa-miR-16-5p', 'hsa-miR-6739-5p', 'MINK1', 'FURIN', 'GRB2', 'E2F3', 'CCND1']
Only in Control:  	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-519d-3p is DOWN 	 66.67 	 6.220 	 3 	 ARHGAP12,1; CCND1,1; FOXK1,1;  	 30.0 	 ['10', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-519d-3p', 'ELK4', 'MINK1', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN 	 66.67 	 6.220 	 3 	 ARHGAP12,1; FZD6,1; RPRD2,1;  	 30.0 	 ['10', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-130a-3p', 'PPIG', 'ZMAT3', 'GPRC5A', 'SIK1', 'RPRD2', 'UBN2', 'CEP55', 'FZD6', 'PRKAA1', 'ARHGAP12']
Only in Control:  	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-6739-5p is UP 	 66.67 	 6.227 	 3 	 CCND1,1; GRB2,1;  	 60.0 	 ['4', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-6739-5p', 'MINK1', 'FURIN', 'GRB2', 'CCND1']
Only in Control:  	 hsa-miR-195-5p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 6.220 	 3 	 ARHGAP12,1; CCND1,1; FOXK1,1;  	 30.0 	 ['10', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'ELK4', 'MINK1', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 hsa-miR-195-5p is DOWN, hsa-miR-424-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 5.831 	 3 	 ARHGAP12,1; CCND1,1;  	 37.5 	 ['7', 'hsa-miR-195-5p', 'hsa-miR-519d-3p', 'hsa-miR-424-5p', 'ELK4', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 hsa-miR-195-5p is DOWN, hsa-miR-519d-3p is DOWN, hsa-miR-526b-3p is not DE 	 66.67 	 6.477 	 3 	 ARHGAP12,1; CCND1,1; FOXK1,1;  	 37.5 	 ['8', 'hsa-miR-195-5p', 'hsa-miR-519d-3p', 'hsa-miR-526b-3p', 'ELK4', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'CCND1']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-195-5p is DOWN, hsa-miR-424-5p is not DE 	 66.67 	 6.340 	 3 	 ARHGAP12,1; FZD6,1; RPRD2,1;  	 33.33333333333333 	 ['9', 'hsa-miR-195-5p', 'hsa-miR-424-5p', 'hsa-miR-130a-3p', 'PPIG', 'ZMAT3', 'GPRC5A', 'RPRD2', 'UBN2', 'CEP55', 'FZD6', 'PRKAA1', 'ARHGAP12']
Only in Control:  	 hsa-miR-195-5p is DOWN, hsa-miR-424-5p is not DE, hsa-miR-6739-5p is UP 	 66.67 	 6.340 	 3 	 CCND1,1; GRB2,1;  	 60.0 	 ['3', 'hsa-miR-195-5p', 'hsa-miR-424-5p', 'hsa-miR-6739-5p', 'FURIN', 'GRB2', 'CCND1']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-195-5p is DOWN, hsa-miR-519c-3p is not DE 	 66.67 	 6.633 	 3 	 ARHGAP12,1; FZD6,1; RPRD2,1;  	 42.857142857142854 	 ['7', 'hsa-miR-195-5p', 'hsa-miR-130a-3p', 'hsa-miR-519c-3p', 'PPIG', 'RPRD2', 'UBN2', 'FZD6', 'PRKAA1', 'ARHGAP12', 'DICER1']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-195-5p is DOWN 	 66.67 	 6.114 	 3 	 ARHGAP12,1; FZD6,1; RPRD2,1;  	 27.27272727272727 	 ['11', 'hsa-miR-195-5p', 'hsa-miR-130a-3p', 'hsa-miR-130b-3p', 'PPIG', 'ZMAT3', 'GPRC5A', 'SIK1', 'RPRD2', 'UBN2', 'CEP55', 'FZD6', 'PRKAA1', 'ARHGAP12', 'DICER1']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE 	 66.67 	 6.340 	 3 	 ARHGAP12,1; FZD6,1; RPRD2,1;  	 33.33333333333333 	 ['9', 'hsa-miR-195-5p', 'hsa-miR-130a-3p', 'hsa-miR-497-5p', 'PPIG', 'ZMAT3', 'GPRC5A', 'RPRD2', 'UBN2', 'CEP55', 'FZD6', 'PRKAA1', 'ARHGAP12']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-195-5p is DOWN, hsa-miR-519b-3p is not DE 	 66.67 	 6.633 	 3 	 ARHGAP12,1; FZD6,1; RPRD2,1;  	 42.857142857142854 	 ['7', 'hsa-miR-195-5p', 'hsa-miR-130a-3p', 'hsa-miR-519b-3p', 'PPIG', 'RPRD2', 'UBN2', 'FZD6', 'PRKAA1', 'ARHGAP12', 'DICER1']
Only in Control:  	 hsa-miR-155-5p is UP, hsa-miR-17-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 8.409 	 3 	 CCND1,1; CSNK1A1,1; MASTL,1; MECP2,1; MIDN,1; RORA,1; ZBTB18,1;  	 58.333333333333336 	 ['12', 'hsa-miR-17-5p', 'hsa-miR-155-5p', 'hsa-miR-519d-3p', 'RORA', 'ZBTB18', 'MASTL', 'HBP1', 'MIDN', 'CSNK1A1', 'NARS', 'SLC30A1', 'PTEN', 'MECP2', 'WEE1', 'CCND1']
Only in Control:  	 hsa-miR-1-3p is UP, hsa-miR-17-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 7.044 	 3 	 ADAR,1; CCND1,1; CRK,1; YWHAZ,1;  	 44.44444444444444 	 ['9', 'hsa-miR-17-5p', 'hsa-miR-1-3p', 'hsa-miR-519d-3p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-17-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 6.590 	 3 	 ARHGAP12,1; C16orf70,1; CNOT4,1; HSPA8,1; LDLR,1; MAVS,1; QKI,1; RPS27A,1; SMAD4,1; TGFBR2,1;  	 21.27659574468085 	 ['47', 'hsa-miR-17-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1']
Only in Control:  	 hsa-miR-142-3p is UP, hsa-miR-17-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 5.485 	 3 	 C16orf70,1; MFSD8,1;  	 20.408163265306122 	 ['11', 'hsa-miR-17-5p', 'hsa-miR-519d-3p', 'hsa-miR-142-3p', 'MFSD8', 'WASL', 'HMGB1', 'YOD1', 'SUCO', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'C16orf70', 'PPP1R15B']
Only in Control:  	 hsa-miR-17-5p is not DE, hsa-miR-4428 is UP, hsa-miR-519d-3p is DOWN 	 66.67 	 7.013 	 3 	 LDLR,1; MECP2,1; MIDN,1;  	 60.0 	 ['5', 'hsa-miR-17-5p', 'hsa-miR-519d-3p', 'hsa-miR-4428', 'WAC', 'MIDN', 'MAPRE3', 'LDLR', 'MECP2']
Only in Control:  	 hsa-miR-17-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-6739-5p is UP 	 66.67 	 5.950 	 3 	 ACVR1B,1; CCND1,1;  	 23.076923076923077 	 ['6', 'hsa-miR-17-5p', 'hsa-miR-519d-3p', 'hsa-miR-6739-5p', 'MINK1', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-16-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 6.340 	 3 	 ARHGAP12,1; HSPA8,1;  	 36.36363636363637 	 ['3', 'hsa-miR-16-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'HSPA8', 'MAP7', 'ARHGAP12']
Only in Control:  	 hsa-miR-155-5p is UP, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 8.409 	 3 	 CCND1,1; CSNK1A1,1; MASTL,1; MECP2,1; MIDN,1; RORA,1; ZBTB18,1;  	 58.333333333333336 	 ['12', 'hsa-miR-155-5p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'RORA', 'ZBTB18', 'MASTL', 'HBP1', 'MIDN', 'CSNK1A1', 'NARS', 'SLC30A1', 'PTEN', 'MECP2', 'WEE1', 'CCND1']
Only in Control:  	 hsa-miR-155-5p is UP, hsa-miR-519c-3p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 7.227 	 3 	 CSNK1A1,1; MIDN,1; ZBTB18,1;  	 75.0 	 ['4', 'hsa-miR-155-5p', 'hsa-miR-519d-3p', 'hsa-miR-519c-3p', 'ZBTB18', 'MIDN', 'CSNK1A1', 'SLC30A1']
Only in Control:  	 hsa-miR-155-5p is UP, hsa-miR-519d-3p is DOWN, hsa-miR-526b-3p is not DE 	 66.67 	 7.673 	 3 	 CCND1,1; CSNK1A1,1; MIDN,1; RORA,1;  	 66.66666666666666 	 ['6', 'hsa-miR-155-5p', 'hsa-miR-519d-3p', 'hsa-miR-526b-3p', 'RORA', 'MIDN', 'CSNK1A1', 'NARS', 'SLC30A1', 'CCND1']
Only in Control:  	 hsa-miR-155-5p is UP, hsa-miR-519b-3p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 7.227 	 3 	 CSNK1A1,1; MIDN,1; ZBTB18,1;  	 75.0 	 ['4', 'hsa-miR-155-5p', 'hsa-miR-519d-3p', 'hsa-miR-519b-3p', 'ZBTB18', 'MIDN', 'CSNK1A1', 'SLC30A1']
Only in Control:  	 hsa-miR-1-3p is UP, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 7.044 	 3 	 ADAR,1; CCND1,1; CRK,1; YWHAZ,1;  	 44.44444444444444 	 ['9', 'hsa-miR-1-3p', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
Only in Control:  	 hsa-miR-1-3p is UP, hsa-miR-519d-3p is DOWN, hsa-miR-526b-3p is not DE 	 66.67 	 6.477 	 3 	 ADAR,1; CCND1,1; YWHAZ,1;  	 37.5 	 ['8', 'hsa-miR-1-3p', 'hsa-miR-519d-3p', 'hsa-miR-526b-3p', 'NFAT5', 'YWHAZ', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
Only in Control:  	 hsa-miR-130a-3p is UP, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 6.590 	 3 	 ARHGAP12,1; C16orf70,1; CNOT4,1; HSPA8,1; LDLR,1; MAVS,1; QKI,1; RPS27A,1; SMAD4,1; TGFBR2,1;  	 21.27659574468085 	 ['47', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1']
Only in Control:  	 hsa-miR-142-3p is UP, hsa-miR-20b-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 5.485 	 3 	 C16orf70,1; MFSD8,1;  	 20.408163265306122 	 ['11', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-142-3p', 'MFSD8', 'WASL', 'HMGB1', 'YOD1', 'SUCO', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'C16orf70', 'PPP1R15B']
Only in Control:  	 hsa-miR-20b-5p is not DE, hsa-miR-4428 is UP, hsa-miR-519d-3p is DOWN 	 66.67 	 7.013 	 3 	 LDLR,1; MECP2,1; MIDN,1;  	 60.0 	 ['5', 'hsa-miR-20b-5p', 'hsa-miR-519d-3p', 'hsa-miR-4428', 'WAC', 'MIDN', 'MAPRE3', 'LDLR', 'MECP2']
