	Score_Control	miRsControl	DEmiRNAcontrolPercentage	Score_Case	miRsCase	DEmiRNAcasePercentage	TS_Genes	TSgenesPercentage	Module
DE in both: 	4.113	hsa-miR-34a-5p is not DE, hsa-miR-6739-5p is UP	50.00	4.113	hsa-miR-34a-5p is not DE, hsa-miR-6739-5p is DOWN	50.00	CCND1,PDGFRA	66.67	['3', 'hsa-miR-34a-5p', 'hsa-miR-6739-5p', 'PDGFRA', 'E2F3', 'CCND1']
DE in both: 	3.057	hsa-miR-221-3p is not DE, hsa-miR-4428 is UP	50.00	3.057	hsa-miR-221-3p is not DE, hsa-miR-4428 is UP	50.00	MIDN	28.57	['3', 'hsa-miR-221-3p', 'hsa-miR-4428', 'ARHGAP42', 'MIDN', 'DDX6']
DE in both: 	3.000	hsa-miR-1-3p is UP, hsa-miR-200c-3p is not DE	50.00	3.000	hsa-miR-1-3p is DOWN, hsa-miR-200c-3p is not DE	50.00	FN1	28.57	['4', 'hsa-miR-200c-3p', 'hsa-miR-1-3p', 'FN1', 'KLHL42', 'VEGFA', 'KRAS']
DE in both: 	4.750	hsa-miR-1-3p is UP, hsa-miR-195-5p is DOWN	100.00	2.750	hsa-miR-1-3p is DOWN, hsa-miR-195-5p is not DE	50.00	CCND1	22.48	['8', 'hsa-miR-195-5p', 'hsa-miR-1-3p', 'ZCCHC3', 'NUP50', 'FLOT2', 'VEGFA', 'NOTCH2', 'TPM3', 'CDK4', 'CCND1']
DE in both: 	3.000	hsa-miR-195-5p is DOWN, hsa-miR-3910 is not DE	50.00	3.000	hsa-miR-195-5p is not DE, hsa-miR-3910 is UP	50.00	PI4K2B	28.57	['4', 'hsa-miR-195-5p', 'hsa-miR-3910', 'AMOTL1', 'PI4K2B', 'ZNF460', 'CDK4']
DE in both: 	4.292	hsa-miR-130a-3p is UP, hsa-miR-17-5p is not DE	50.00	4.292	hsa-miR-130a-3p is UP, hsa-miR-17-5p is not DE	50.00	ARHGAP12,C16orf70,CNOT4,HSPA8,LDLR,MAVS,QKI,RPS27A,SMAD4,TGFBR2	20.41	['49', 'hsa-miR-17-5p', 'hsa-miR-130a-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'XIAP', 'QKI', 'TXNIP', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1', 'BMPR2']
DE in both: 	3.604	hsa-miR-10b-5p is DOWN, hsa-miR-17-5p is not DE	50.00	3.604	hsa-miR-10b-5p is DOWN, hsa-miR-17-5p is not DE	50.00	RORA,SON	28.57	['7', 'hsa-miR-17-5p', 'hsa-miR-10b-5p', 'RORA', 'NR2C2', 'ANKRD33B', 'RBM12B', 'SON', 'PTEN', 'BCL2L11']
DE in both: 	3.057	hsa-miR-126-3p is DOWN, hsa-miR-16-5p is not DE	50.00	3.057	hsa-miR-126-3p is DOWN, hsa-miR-16-5p is not DE	50.00	SLC7A5	66.67	['3', 'hsa-miR-16-5p', 'hsa-miR-126-3p', 'SLC7A5', 'VEGFA', 'SPRED1']
DE in both: 	3.708	hsa-miR-1-3p is UP, hsa-miR-16-5p is not DE	50.00	3.708	hsa-miR-1-3p is DOWN, hsa-miR-16-5p is not DE	50.00	CCND1,FNDC3B,MOV10	23.08	['13', 'hsa-miR-16-5p', 'hsa-miR-1-3p', 'ZCCHC3', 'NUP50', 'FLOT2', 'PIM1', 'PNP', 'VEGFA', 'FNDC3B', 'MOV10', 'NOTCH2', 'SLC25A22', 'TPM3', 'PDCD4', 'CCND1']
DE in both: 	4.113	hsa-miR-16-5p is not DE, hsa-miR-331-3p is DOWN	50.00	4.113	hsa-miR-16-5p is not DE, hsa-miR-331-3p is DOWN	50.00	HSPA8,TMEM109	66.67	['3', 'hsa-miR-16-5p', 'hsa-miR-331-3p', 'HSPA8', 'SLC1A5', 'TMEM109']
DE in both: 	3.858	hsa-miR-16-5p is not DE, hsa-miR-485-5p is DOWN	50.00	3.858	hsa-miR-16-5p is not DE, hsa-miR-485-5p is DOWN	50.00	ACTG1,SERBP1	40.00	['5', 'hsa-miR-16-5p', 'hsa-miR-485-5p', 'ACTG1', 'FBXL18', 'SERBP1', 'ARHGDIA', 'SHOC2']
DE in both: 	3.723	hsa-miR-16-5p is not DE, hsa-miR-6739-5p is UP	50.00	3.723	hsa-miR-16-5p is not DE, hsa-miR-6739-5p is DOWN	50.00	CCND1,GRB2	33.33	['6', 'hsa-miR-16-5p', 'hsa-miR-6739-5p', 'MINK1', 'FURIN', 'GATAD2A', 'GRB2', 'E2F3', 'CCND1']
DE in both: 	3.409	hsa-miR-1-3p is UP, hsa-miR-15b-5p is not DE	50.00	3.409	hsa-miR-1-3p is DOWN, hsa-miR-15b-5p is not DE	50.00	CCND1,CRK	22.22	['9', 'hsa-miR-15b-5p', 'hsa-miR-1-3p', 'ZCCHC3', 'NUP50', 'FLOT2', 'PGD', 'VEGFA', 'CRK', 'NOTCH2', 'TPM3', 'CCND1']
DE in both: 	7.986	hsa-miR-1-3p is UP, hsa-miR-155-5p is UP	100.00	5.986	hsa-miR-1-3p is DOWN, hsa-miR-155-5p is not DE	50.00	ANXA2,CCND1,LIN7C,MEF2A,PICALM,TWF1	60.00	['10', 'hsa-miR-155-5p', 'hsa-miR-1-3p', 'PSIP1', 'TWF1', 'LIN7C', 'RAB5C', 'ANXA2', 'PICALM', 'WDFY1', 'MEF2A', 'KRAS', 'CCND1']
DE in both: 	6.113	hsa-miR-155-5p is UP, hsa-miR-4428 is UP	100.00	4.113	hsa-miR-155-5p is not DE, hsa-miR-4428 is UP	50.00	MECP2,MIDN	66.67	['3', 'hsa-miR-155-5p', 'hsa-miR-4428', 'TNPO1', 'MIDN', 'MECP2']
DE in both: 	3.057	hsa-miR-1-3p is UP, hsa-miR-143-3p is not DE	50.00	3.057	hsa-miR-1-3p is DOWN, hsa-miR-143-3p is not DE	50.00	CALM3	60.00	['3', 'hsa-miR-143-3p', 'hsa-miR-1-3p', 'CALM3', 'ZNF264', 'KRAS']
DE in both: 	3.057	hsa-miR-126-3p is DOWN, hsa-miR-362-3p is not DE	50.00	3.057	hsa-miR-126-3p is DOWN, hsa-miR-362-3p is not DE	50.00	CRK	60.00	['3', 'hsa-miR-126-3p', 'hsa-miR-362-3p', 'PIK3CG', 'CRK', 'IRS1']
DE in both: 	4.113	hsa-miR-122-5p is not DE, hsa-miR-6739-5p is UP	50.00	4.113	hsa-miR-122-5p is not DE, hsa-miR-6739-5p is DOWN	50.00	FHL2,MLF2	66.67	['3', 'hsa-miR-122-5p', 'hsa-miR-6739-5p', 'MLF2', 'ZNF354B', 'FHL2']
DE in both: 	4.406	hsa-miR-101-3p is not DE, hsa-miR-130a-3p is UP	50.00	4.406	hsa-miR-101-3p is not DE, hsa-miR-130a-3p is UP	50.00	FZD6,RAB5A,TGFBR2	42.86	['7', 'hsa-miR-101-3p', 'hsa-miR-130a-3p', 'FZD6', 'SLC38A2', 'CLIC4', 'PPP1R15B', 'RAB5A', 'DICER1', 'TGFBR2']
DE in both: 	3.604	hsa-let-7a-5p is not DE, hsa-miR-1-3p is UP	50.00	3.604	hsa-let-7a-5p is not DE, hsa-miR-1-3p is DOWN	50.00	CCND1,FNDC3A	28.57	['7', 'hsa-miR-1-3p', 'hsa-let-7a-5p', 'C5orf51', 'ZCCHC3', 'CLDN12', 'FNDC3A', 'ZNF264', 'KRAS', 'CCND1']
DE in both: 	3.858	hsa-miR-1-3p is UP, hsa-miR-193b-3p is not DE	50.00	3.858	hsa-miR-1-3p is DOWN, hsa-miR-193b-3p is not DE	50.00	CCND1,YWHAZ	40.00	['5', 'hsa-miR-1-3p', 'hsa-miR-193b-3p', 'PSIP1', 'YWHAZ', 'KLHL42', 'KRAS', 'CCND1']
DE in both: 	5.057	hsa-miR-1-3p is UP, hsa-miR-10b-5p is DOWN	100.00	5.057	hsa-miR-1-3p is DOWN, hsa-miR-10b-5p is DOWN	100.00	TPM4	40.00	['3', 'hsa-miR-1-3p', 'hsa-miR-10b-5p', 'H3F3C', 'H3F3B', 'TPM4']
DE in both: 	4.000	hsa-miR-1-3p is UP, hsa-miR-142-5p is not DE	50.00	4.000	hsa-miR-1-3p is DOWN, hsa-miR-142-5p is not DE	50.00	CALM1,CCND1	50.00	['4', 'hsa-miR-1-3p', 'hsa-miR-142-5p', 'CALM1', 'UHMK1', 'DDX5', 'CCND1']
DE in both: 	2.704	hsa-miR-1-3p is UP, hsa-miR-362-3p is not DE	50.00	2.704	hsa-miR-1-3p is DOWN, hsa-miR-362-3p is not DE	50.00	CRK	50.00	['9', 'hsa-miR-1-3p', 'hsa-miR-362-3p', 'FAM216B', 'NFAT5', 'PDCD10', 'PAX3', 'KLHL42', 'C12orf49', 'SLC44A1', 'CRK', 'BRI3BP']
DE in both: 	3.057	hsa-miR-1-3p is UP, hsa-miR-493-5p is not DE	50.00	3.057	hsa-miR-1-3p is DOWN, hsa-miR-493-5p is not DE	50.00	CALM2	50.00	['3', 'hsa-miR-1-3p', 'hsa-miR-493-5p', 'CALM2', 'RAB5C', 'ANP32B']
DE in both: 	4.113	hsa-let-7a-5p is not DE, hsa-miR-34b-3p is UP	50.00	4.113	hsa-let-7a-5p is not DE, hsa-miR-34b-3p is UP	50.00	MYC,TMED5	66.67	['3', 'hsa-let-7a-5p', 'hsa-miR-34b-3p', 'DNAL1', 'TMED5', 'MYC']
DE in both: 	5.170	hsa-let-7a-5p is not DE, hsa-miR-6739-5p is UP	50.00	5.170	hsa-let-7a-5p is not DE, hsa-miR-6739-5p is DOWN	50.00	AP1S1,CCND1,RNF44	100.00	['3', 'hsa-let-7a-5p', 'hsa-miR-6739-5p', 'RNF44', 'AP1S1', 'CCND1']
DE in both: 	4.113	hsa-miR-10b-5p is DOWN, hsa-miR-335-5p is not DE	50.00	4.113	hsa-miR-10b-5p is DOWN, hsa-miR-335-5p is not DE	50.00	HOXB3,MAPKAPK5	66.67	['3', 'hsa-miR-335-5p', 'hsa-miR-10b-5p', 'MAPKAPK5', 'HOXB3', 'ID4']
DE in both: 	3.057	hsa-miR-130a-3p is UP, hsa-miR-18a-5p is not DE	50.00	3.057	hsa-miR-130a-3p is UP, hsa-miR-18a-5p is not DE	50.00	ESR1	50.00	['3', 'hsa-miR-18a-5p', 'hsa-miR-130a-3p', 'TXNIP', 'DICER1', 'ESR1']
DE in both: 	3.057	hsa-miR-200b-3p is UP, hsa-miR-539-5p is not DE	50.00	3.057	hsa-miR-200b-3p is not DE, hsa-miR-539-5p is UP	50.00	NCOA2	50.00	['3', 'hsa-miR-200b-3p', 'hsa-miR-539-5p', 'TCF7L2', 'NCOA2', 'WASF3']
DE in both: 	3.057	hsa-miR-130a-3p is UP, hsa-miR-22-3p is not DE	50.00	3.057	hsa-miR-130a-3p is UP, hsa-miR-22-3p is not DE	50.00	ESR1	50.00	['3', 'hsa-miR-130a-3p', 'hsa-miR-22-3p', 'KCTD10', 'RAB5B', 'ESR1']
DE in both: 	5.038	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE	50.00	5.038	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE	50.00	ACVR1,ARHGAP12,BRWD1,C16orf70,CALM2,CNOT4,DSTYK,EOGT,FZD6,HSPA8,LDLR,MAVS,MBNL3,MFF,MID1IP1,MSANTD4,POP7,PPARG,QKI,RDH11,RPRD2,RPS27A,SEC23B,SERINC3,SMAD4,SNX5,TAOK1,TGFBR2,WIPF2,ZNF529	21.28	['141', 'hsa-miR-130a-3p', 'hsa-miR-130b-3p', 'PRR23A', 'GP2', 'PLEKHS1', 'AGO3', 'ROMO1', 'WIPF2', 'DAD1', 'TMEM30A', 'ZNF224', 'RPF2', 'CUL3', 'PIGA', 'RAG1', 'RRAGD', 'NCAPD2', 'ZNF529', 'RBM20', 'KLHL36', 'ZNF354B', 'LZIC', 'PPIG', 'ATP6V0D1', 'PARP1', 'ZNF154', 'CHEK2', 'NRBF2', 'ZMAT3', 'SNX5', 'MMGT1', 'UBBP4', 'FOXQ1', 'DLG5', 'EOGT', 'GMFB', 'KIF13A', 'PPP6R1', 'PXK', 'SNTB1', 'STX6', 'UBB', 'MFF', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'CCNA2', 'ZNF711', 'PLEKHF2', 'ZNF317', 'GPRC5A', 'ZBTB7B', 'SALL3', 'MTPN', 'TAOK1', 'LMLN', 'SIK1', 'MAVS', 'MBNL3', 'MIGA2', 'POP7', 'CBY1', 'ZFYVE9', 'MLEC', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'RPRD2', 'UBN2', 'CEP55', 'CAPRIN2', 'FZD6', 'SLC38A2', 'TNRC6A', 'LCLAT1', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'HABP4', 'ARHGAP1', 'CNOT4', 'SPART', 'KLHL21', 'GRB10', 'SERINC3', 'RDH11', 'DSTYK', 'MSANTD4', 'ATMIN', 'CDK19', 'ENPP5', 'ATP6V1C1', 'C16orf70', 'MBNL1', 'ZBTB4', 'PDZD11', 'MID1IP1', 'PRKAA1', 'CLIP1', 'PPP1R15B', 'SEC23B', 'MAPRE3', 'PDRG1', 'COX10', 'MAP7', 'KCTD10', 'TRPC3', 'SECISBP2L', 'ARHGAP12', 'BRWD1', 'NACC2', 'ZNF417', 'SUN2', 'RAB5B', 'BTBD3', 'ZNF800', 'LDLR', 'ACVR1', 'STARD13', 'NFIB', 'QKI', 'PPARG', 'CALM2', 'TXNIP', 'DICER1', 'YY1', 'SMAD4', 'ATP6V1B2', 'RUNX3', 'BLCAP', 'CLCN3', 'SOX4', 'TMOD3', 'PAFAH1B2', 'TGFBR2', 'HOXA5', 'NABP1']
DE in both: 	3.500	hsa-miR-130a-3p is UP, hsa-miR-148b-3p is not DE	50.00	5.500	hsa-miR-130a-3p is UP, hsa-miR-148b-3p is UP	100.00	CNOT4,CSF1,EOGT	18.75	['16', 'hsa-miR-130a-3p', 'hsa-miR-148b-3p', 'EOGT', 'PPP6R1', 'CCNA2', 'GPRC5A', 'SIK1', 'MLEC', 'ZFYVE26', 'CEP55', 'SLC38A2', 'CNOT4', 'SECISBP2L', 'BTBD3', 'STARD13', 'TXNIP', 'CSF1', 'DICER1']
DE in both: 	3.057	hsa-miR-1304-5p is not DE, hsa-miR-130a-3p is UP	50.00	3.057	hsa-miR-1304-5p is not DE, hsa-miR-130a-3p is UP	50.00	CALM2	18.75	['3', 'hsa-miR-130a-3p', 'hsa-miR-1304-5p', 'PLEKHF2', 'CALM2', 'SMAD5']
DE in both: 	3.057	hsa-miR-10b-5p is DOWN, hsa-miR-494-3p is not DE	50.00	3.057	hsa-miR-10b-5p is DOWN, hsa-miR-494-3p is not DE	50.00	MAPKAPK5	22.15	['3', 'hsa-miR-494-3p', 'hsa-miR-10b-5p', 'MAPKAPK5', 'CMPK1', 'PTEN']
DE in both: 	3.000	hsa-miR-10b-5p is DOWN, hsa-miR-25-3p is not DE	50.00	3.000	hsa-miR-10b-5p is DOWN, hsa-miR-25-3p is not DE	50.00	KLF4	22.15	['4', 'hsa-miR-10b-5p', 'hsa-miR-25-3p', 'H3F3C', 'H3F3B', 'KLF4', 'BCL2L11']
DE in both: 	3.057	hsa-miR-130b-3p is not DE, hsa-miR-4428 is UP	50.00	3.057	hsa-miR-130b-3p is not DE, hsa-miR-4428 is UP	50.00	LDLR	33.33	['3', 'hsa-miR-130b-3p', 'hsa-miR-4428', 'DDX6', 'MAPRE3', 'LDLR']
DE in both: 	3.057	hsa-miR-25-3p is not DE, hsa-miR-4428 is UP	50.00	3.057	hsa-miR-25-3p is not DE, hsa-miR-4428 is UP	50.00	TRAM2	22.12	['3', 'hsa-miR-25-3p', 'hsa-miR-4428', 'TRAM2', 'EIF5A2', 'INCENP']
DE in both: 	3.000	hsa-miR-185-5p is not DE, hsa-miR-4428 is UP	50.00	3.000	hsa-miR-185-5p is not DE, hsa-miR-4428 is UP	50.00	MYH14	33.33	['4', 'hsa-miR-185-5p', 'hsa-miR-4428', 'SAMD4B', 'DLX6', 'MYH14', 'INCENP']
DE in both: 	6.000	hsa-miR-34b-3p is UP, hsa-miR-485-5p is DOWN	100.00	6.000	hsa-miR-34b-3p is UP, hsa-miR-485-5p is DOWN	100.00	RABAC1,TBC1D19	50.00	['4', 'hsa-miR-34b-3p', 'hsa-miR-485-5p', 'TBC1D19', 'CARD6', 'ZNF674', 'RABAC1']
DE in both: 	3.057	hsa-miR-371a-5p is DOWN, hsa-miR-92b-3p is not DE	50.00	3.057	hsa-miR-371a-5p is DOWN, hsa-miR-92b-3p is not DE	50.00	CCSER2	25.00	['3', 'hsa-miR-92b-3p', 'hsa-miR-371a-5p', 'CCSER2', 'ZNF24', 'NFATC2IP']
DE in both: 	3.258	hsa-miR-18a-3p is DOWN, hsa-miR-324-3p is not DE	50.00	3.258	hsa-miR-18a-3p is DOWN, hsa-miR-324-3p is not DE	50.00	CCDC71L,PGK1	18.18	['11', 'hsa-miR-18a-3p', 'hsa-miR-324-3p', 'FBRS', 'GTF2H2C', 'MDGA1', 'WDR53', 'RANGAP1', 'CCDC71L', 'TOGARAM2', 'VAV3', 'NUP62', 'PGK1', 'PTPN4']
DE in both: 	3.057	hsa-miR-485-5p is DOWN, hsa-miR-512-5p is not DE	50.00	3.057	hsa-miR-485-5p is DOWN, hsa-miR-512-5p is not DE	50.00	ZNF585B	20.00	['3', 'hsa-miR-512-5p', 'hsa-miR-485-5p', 'ELMSAN1', 'PPEF2', 'ZNF585B']
DE in both: 	4.113	hsa-miR-4428 is UP, hsa-miR-539-5p is not DE	50.00	6.113	hsa-miR-4428 is UP, hsa-miR-539-5p is UP	100.00	LDLR,TRAM2	66.67	['3', 'hsa-miR-539-5p', 'hsa-miR-4428', 'TRAM2', 'MSL1', 'LDLR']
DE in both: 	3.000	hsa-miR-1304-5p is not DE, hsa-miR-485-5p is DOWN	50.00	3.000	hsa-miR-1304-5p is not DE, hsa-miR-485-5p is DOWN	50.00	TMBIM6	33.33	['4', 'hsa-miR-485-5p', 'hsa-miR-1304-5p', 'EGF', 'ZNF774', 'TMBIM6', 'FBXL18']
DE in both: 	4.113	hsa-miR-485-5p is DOWN, hsa-miR-6880-5p is not DE	50.00	4.113	hsa-miR-485-5p is DOWN, hsa-miR-6880-5p is not DE	50.00	MTMR10,SERBP1	66.67	['3', 'hsa-miR-485-5p', 'hsa-miR-6880-5p', 'MTMR10', 'ZNF587', 'SERBP1']
DE in both: 	3.858	hsa-miR-1225-3p is not DE, hsa-miR-485-5p is DOWN	50.00	3.858	hsa-miR-1225-3p is not DE, hsa-miR-485-5p is DOWN	50.00	CDCP1,ZNF585B	40.00	['5', 'hsa-miR-485-5p', 'hsa-miR-1225-3p', 'ITGA3', 'EGF', 'ZNF585B', 'HASPIN', 'CDCP1']
DE in both: 	3.170	hsa-miR-130a-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-21-5p is not DE	33.33	3.170	hsa-miR-130a-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-21-5p is not DE	33.33	TGFBR2	22.22	['3', 'hsa-miR-20a-5p', 'hsa-miR-21-5p', 'hsa-miR-130a-3p', 'TNFRSF10B', 'TGFBR2', 'BMPR2']
DE in both: 	3.170	hsa-miR-130a-3p is UP, hsa-miR-148a-3p is not DE, hsa-miR-20a-5p is not DE	33.33	3.170	hsa-miR-130a-3p is UP, hsa-miR-148a-3p is not DE, hsa-miR-20a-5p is not DE	33.33	CNOT4	22.22	['3', 'hsa-miR-20a-5p', 'hsa-miR-148a-3p', 'hsa-miR-130a-3p', 'ZFYVE26', 'CNOT4', 'TXNIP']
DE in both: 	4.771	hsa-miR-1-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-93-5p is not DE	33.33	4.771	hsa-miR-1-3p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-93-5p is not DE	33.33	ADAR,CCND1,CRK,YWHAZ	40.00	['10', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-1-3p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'DDX5', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	4.440	hsa-miR-130a-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-93-5p is not DE	33.33	4.440	hsa-miR-130a-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-93-5p is not DE	33.33	ARHGAP12,C16orf70,CNOT4,HSPA8,LDLR,MAVS,QKI,RPS27A,SMAD4,TGFBR2	20.83	['48', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-130a-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1', 'BMPR2']
