	Score_Control	miRsControl	DEmiRNAcontrolPercentage	Score_Case	miRsCase	DEmiRNAcasePercentage	TS_Genes	TSgenesPercentage	Module
DE in both: 	3.858	hsa-miR-1-3p is UP, hsa-miR-193b-3p is not DE	50.00	3.858	hsa-miR-1-3p is DOWN, hsa-miR-193b-3p is not DE	50.00	CCND1,YWHAZ	42.86	['5', 'hsa-miR-1-3p', 'hsa-miR-193b-3p', 'PSIP1', 'YWHAZ', 'KLHL42', 'KRAS', 'CCND1']
DE in both: 	4.000	hsa-miR-1-3p is UP, hsa-miR-142-5p is not DE	50.00	4.000	hsa-miR-1-3p is DOWN, hsa-miR-142-5p is not DE	50.00	CALM1,CCND1	42.86	['4', 'hsa-miR-1-3p', 'hsa-miR-142-5p', 'CALM1', 'UHMK1', 'DDX5', 'CCND1']
DE in both: 	5.170	hsa-let-7a-5p is not DE, hsa-miR-6739-5p is UP	50.00	5.170	hsa-let-7a-5p is not DE, hsa-miR-6739-5p is DOWN	50.00	AP1S1,CCND1,RNF44	100.00	['3', 'hsa-let-7a-5p', 'hsa-miR-6739-5p', 'RNF44', 'AP1S1', 'CCND1']
DE in both: 	3.500	hsa-miR-130a-3p is UP, hsa-miR-148b-3p is not DE	50.00	5.500	hsa-miR-130a-3p is UP, hsa-miR-148b-3p is UP	100.00	CNOT4,CSF1,EOGT	18.75	['16', 'hsa-miR-130a-3p', 'hsa-miR-148b-3p', 'EOGT', 'PPP6R1', 'CCNA2', 'GPRC5A', 'SIK1', 'MLEC', 'ZFYVE26', 'CEP55', 'SLC38A2', 'CNOT4', 'SECISBP2L', 'BTBD3', 'STARD13', 'TXNIP', 'CSF1', 'DICER1']
DE in both: 	4.113	hsa-miR-4428 is UP, hsa-miR-539-5p is not DE	50.00	6.113	hsa-miR-4428 is UP, hsa-miR-539-5p is UP	100.00	LDLR,TRAM2	18.75	['3', 'hsa-miR-539-5p', 'hsa-miR-4428', 'TRAM2', 'MSL1', 'LDLR']
DE in both: 	4.771	hsa-miR-1-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-93-5p is not DE	33.33	4.771	hsa-miR-1-3p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-93-5p is not DE	33.33	ADAR,CCND1,CRK,YWHAZ	40.00	['10', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-1-3p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'DDX5', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	3.837	hsa-miR-20a-5p is not DE, hsa-miR-6739-5p is UP, hsa-miR-93-5p is not DE	33.33	3.837	hsa-miR-20a-5p is not DE, hsa-miR-6739-5p is DOWN, hsa-miR-93-5p is not DE	33.33	ACVR1B,CCND1	23.08	['6', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-6739-5p', 'MINK1', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	4.931	hsa-miR-1-3p is UP, hsa-miR-17-5p is not DE, hsa-miR-20a-5p is not DE	33.33	4.931	hsa-miR-1-3p is DOWN, hsa-miR-17-5p is not DE, hsa-miR-20a-5p is not DE	33.33	ADAR,CCND1,CRK,YWHAZ	44.44	['9', 'hsa-miR-20a-5p', 'hsa-miR-17-5p', 'hsa-miR-1-3p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	3.837	hsa-miR-17-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-6739-5p is UP	33.33	3.837	hsa-miR-17-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-6739-5p is DOWN	33.33	ACVR1B,CCND1	23.08	['6', 'hsa-miR-20a-5p', 'hsa-miR-17-5p', 'hsa-miR-6739-5p', 'MINK1', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	4.931	hsa-miR-1-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-20b-5p is not DE	33.33	4.931	hsa-miR-1-3p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-20b-5p is not DE	33.33	ADAR,CCND1,CRK,YWHAZ	44.44	['9', 'hsa-miR-20a-5p', 'hsa-miR-1-3p', 'hsa-miR-20b-5p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	7.044	hsa-miR-1-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.931	hsa-miR-1-3p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is not DE	33.33	ADAR,CCND1,CRK,YWHAZ	44.44	['9', 'hsa-miR-20a-5p', 'hsa-miR-1-3p', 'hsa-miR-519d-3p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	4.363	hsa-miR-1-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-526b-3p is not DE	33.33	4.363	hsa-miR-1-3p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-526b-3p is not DE	33.33	ADAR,CCND1,YWHAZ	37.50	['8', 'hsa-miR-20a-5p', 'hsa-miR-1-3p', 'hsa-miR-526b-3p', 'NFAT5', 'YWHAZ', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	3.837	hsa-miR-20a-5p is not DE, hsa-miR-20b-5p is not DE, hsa-miR-6739-5p is UP	33.33	3.837	hsa-miR-20a-5p is not DE, hsa-miR-20b-5p is not DE, hsa-miR-6739-5p is DOWN	33.33	ACVR1B,CCND1	23.08	['6', 'hsa-miR-20a-5p', 'hsa-miR-20b-5p', 'hsa-miR-6739-5p', 'MINK1', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	6.590	hsa-miR-130a-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.477	hsa-miR-130a-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is not DE	33.33	ARHGAP12,C16orf70,CNOT4,HSPA8,LDLR,MAVS,QKI,RPS27A,SMAD4,TGFBR2	21.28	['47', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1']
DE in both: 	3.522	hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-539-5p is not DE	33.33	3.522	hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is not DE, hsa-miR-539-5p is UP	33.33	CCDC71L,LDLR	23.36	['9', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-539-5p', 'ZMYM1', 'PCLAF', 'CCDC71L', 'GLO1', 'LAMTOR1', 'NUFIP2', 'ENPP5', 'LDLR', 'SOD2']
DE in both: 	7.013	hsa-miR-20a-5p is not DE, hsa-miR-4428 is UP, hsa-miR-519d-3p is DOWN	66.67	4.900	hsa-miR-20a-5p is not DE, hsa-miR-4428 is UP, hsa-miR-519d-3p is not DE	33.33	LDLR,MECP2,MIDN	60.00	['5', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-4428', 'WAC', 'MIDN', 'MAPRE3', 'LDLR', 'MECP2']
DE in both: 	5.950	hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-6739-5p is UP	66.67	3.837	hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is not DE, hsa-miR-6739-5p is DOWN	33.33	ACVR1B,CCND1	23.08	['6', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-6739-5p', 'MINK1', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	4.113	hsa-miR-20a-5p is not DE, hsa-miR-3910 is not DE, hsa-miR-519d-3p is DOWN	33.33	4.113	hsa-miR-20a-5p is not DE, hsa-miR-3910 is UP, hsa-miR-519d-3p is not DE	33.33	EFCAB14,MYLIP	46.15	['4', 'hsa-miR-20a-5p', 'hsa-miR-519d-3p', 'hsa-miR-3910', 'EFCAB14', 'ICMT', 'ARHGAP1', 'MYLIP']
DE in both: 	3.971	hsa-miR-20a-5p is not DE, hsa-miR-526b-3p is not DE, hsa-miR-6739-5p is UP	33.33	3.971	hsa-miR-20a-5p is not DE, hsa-miR-526b-3p is not DE, hsa-miR-6739-5p is DOWN	33.33	ACVR1B,CCND1	23.08	['5', 'hsa-miR-20a-5p', 'hsa-miR-526b-3p', 'hsa-miR-6739-5p', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	3.155	hsa-miR-130a-3p is UP, hsa-miR-148a-3p is not DE, hsa-miR-148b-3p is not DE	33.33	5.268	hsa-miR-130a-3p is UP, hsa-miR-148a-3p is not DE, hsa-miR-148b-3p is UP	66.67	CNOT4,EOGT	16.67	['15', 'hsa-miR-148a-3p', 'hsa-miR-130a-3p', 'hsa-miR-148b-3p', 'EOGT', 'PPP6R1', 'CCNA2', 'GPRC5A', 'SIK1', 'MLEC', 'ZFYVE26', 'CEP55', 'SLC38A2', 'CNOT4', 'SECISBP2L', 'BTBD3', 'STARD13', 'TXNIP', 'DICER1']
DE in both: 	4.931	hsa-miR-1-3p is UP, hsa-miR-17-5p is not DE, hsa-miR-93-5p is not DE	33.33	4.931	hsa-miR-1-3p is DOWN, hsa-miR-17-5p is not DE, hsa-miR-93-5p is not DE	33.33	ADAR,CCND1,CRK,YWHAZ	44.44	['9', 'hsa-miR-93-5p', 'hsa-miR-17-5p', 'hsa-miR-1-3p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	3.837	hsa-miR-17-5p is not DE, hsa-miR-6739-5p is UP, hsa-miR-93-5p is not DE	33.33	3.837	hsa-miR-17-5p is not DE, hsa-miR-6739-5p is DOWN, hsa-miR-93-5p is not DE	33.33	ACVR1B,CCND1	23.08	['6', 'hsa-miR-93-5p', 'hsa-miR-17-5p', 'hsa-miR-6739-5p', 'MINK1', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	4.227	hsa-miR-1-3p is UP, hsa-miR-15b-5p is not DE, hsa-miR-93-5p is not DE	33.33	4.227	hsa-miR-1-3p is DOWN, hsa-miR-15b-5p is not DE, hsa-miR-93-5p is not DE	33.33	CCND1,CRK	36.36	['3', 'hsa-miR-93-5p', 'hsa-miR-15b-5p', 'hsa-miR-1-3p', 'VEGFA', 'CRK', 'CCND1']
DE in both: 	4.771	hsa-miR-1-3p is UP, hsa-miR-20b-5p is not DE, hsa-miR-93-5p is not DE	33.33	4.771	hsa-miR-1-3p is DOWN, hsa-miR-20b-5p is not DE, hsa-miR-93-5p is not DE	33.33	ADAR,CCND1,CRK,YWHAZ	40.00	['10', 'hsa-miR-93-5p', 'hsa-miR-1-3p', 'hsa-miR-20b-5p', 'NFAT5', 'YWHAZ', 'VEGFA', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	7.044	hsa-miR-1-3p is UP, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE	66.67	4.931	hsa-miR-1-3p is DOWN, hsa-miR-519d-3p is not DE, hsa-miR-93-5p is not DE	33.33	ADAR,CCND1,CRK,YWHAZ	44.44	['9', 'hsa-miR-93-5p', 'hsa-miR-1-3p', 'hsa-miR-519d-3p', 'NFAT5', 'YWHAZ', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	4.363	hsa-miR-1-3p is UP, hsa-miR-526b-3p is not DE, hsa-miR-93-5p is not DE	33.33	4.363	hsa-miR-1-3p is DOWN, hsa-miR-526b-3p is not DE, hsa-miR-93-5p is not DE	33.33	ADAR,CCND1,YWHAZ	37.50	['8', 'hsa-miR-93-5p', 'hsa-miR-1-3p', 'hsa-miR-526b-3p', 'NFAT5', 'YWHAZ', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'BRI3BP', 'CCND1']
DE in both: 	3.837	hsa-miR-20b-5p is not DE, hsa-miR-6739-5p is UP, hsa-miR-93-5p is not DE	33.33	3.837	hsa-miR-20b-5p is not DE, hsa-miR-6739-5p is DOWN, hsa-miR-93-5p is not DE	33.33	ACVR1B,CCND1	23.08	['6', 'hsa-miR-93-5p', 'hsa-miR-20b-5p', 'hsa-miR-6739-5p', 'MINK1', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	6.590	hsa-miR-130a-3p is UP, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE	66.67	4.477	hsa-miR-130a-3p is UP, hsa-miR-519d-3p is not DE, hsa-miR-93-5p is not DE	33.33	ARHGAP12,C16orf70,CNOT4,HSPA8,LDLR,MAVS,QKI,RPS27A,SMAD4,TGFBR2	21.28	['47', 'hsa-miR-93-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'RPF2', 'RRAGD', 'RBM20', 'KLHL36', 'LZIC', 'FOXQ1', 'PXK', 'CEP170', 'NIPA1', 'RAN', 'ZNF12', 'SALL3', 'MAVS', 'ZFYVE9', 'MAPK1', 'WASL', 'ZFYVE26', 'TNFRSF10B', 'RPS27A', 'HSPA8', 'POLR1B', 'CAPRIN2', 'BTF3L4', 'CLIC4', 'KIAA1191', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'LDLR', 'NFIB', 'QKI', 'TXNIP', 'SMAD4', 'SOX4', 'TGFBR2', 'NABP1']
DE in both: 	3.522	hsa-miR-519d-3p is DOWN, hsa-miR-539-5p is not DE, hsa-miR-93-5p is not DE	33.33	3.522	hsa-miR-519d-3p is not DE, hsa-miR-539-5p is UP, hsa-miR-93-5p is not DE	33.33	CCDC71L,LDLR	23.36	['9', 'hsa-miR-93-5p', 'hsa-miR-519d-3p', 'hsa-miR-539-5p', 'ZMYM1', 'PCLAF', 'CCDC71L', 'GLO1', 'LAMTOR1', 'NUFIP2', 'ENPP5', 'LDLR', 'SOD2']
DE in both: 	7.013	hsa-miR-4428 is UP, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE	66.67	4.900	hsa-miR-4428 is UP, hsa-miR-519d-3p is not DE, hsa-miR-93-5p is not DE	33.33	LDLR,MECP2,MIDN	60.00	['5', 'hsa-miR-93-5p', 'hsa-miR-519d-3p', 'hsa-miR-4428', 'WAC', 'MIDN', 'MAPRE3', 'LDLR', 'MECP2']
DE in both: 	5.950	hsa-miR-519d-3p is DOWN, hsa-miR-6739-5p is UP, hsa-miR-93-5p is not DE	66.67	3.837	hsa-miR-519d-3p is not DE, hsa-miR-6739-5p is DOWN, hsa-miR-93-5p is not DE	33.33	ACVR1B,CCND1	23.08	['6', 'hsa-miR-93-5p', 'hsa-miR-519d-3p', 'hsa-miR-6739-5p', 'MINK1', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	4.113	hsa-miR-3910 is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE	33.33	4.113	hsa-miR-3910 is UP, hsa-miR-519d-3p is not DE, hsa-miR-93-5p is not DE	33.33	EFCAB14,MYLIP	46.15	['4', 'hsa-miR-93-5p', 'hsa-miR-519d-3p', 'hsa-miR-3910', 'EFCAB14', 'ICMT', 'ARHGAP1', 'MYLIP']
DE in both: 	3.971	hsa-miR-526b-3p is not DE, hsa-miR-6739-5p is UP, hsa-miR-93-5p is not DE	33.33	3.971	hsa-miR-526b-3p is not DE, hsa-miR-6739-5p is DOWN, hsa-miR-93-5p is not DE	33.33	ACVR1B,CCND1	23.08	['5', 'hsa-miR-93-5p', 'hsa-miR-526b-3p', 'hsa-miR-6739-5p', 'ACVR1B', 'WAC', 'ZBTB33', 'LASP1', 'CCND1']
DE in both: 	6.340	hsa-miR-130a-3p is UP, hsa-miR-34b-5p is not DE, hsa-miR-519d-3p is DOWN	66.67	4.227	hsa-miR-130a-3p is UP, hsa-miR-34b-5p is not DE, hsa-miR-519d-3p is not DE	33.33	CNOT4,TGFBR2	66.67	['3', 'hsa-miR-34b-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'ARHGAP1', 'CNOT4', 'TGFBR2']
DE in both: 	6.084	hsa-miR-130a-3p is UP, hsa-miR-34a-5p is not DE, hsa-miR-519d-3p is DOWN	66.67	3.971	hsa-miR-130a-3p is UP, hsa-miR-34a-5p is not DE, hsa-miR-519d-3p is not DE	33.33	CNOT4,SMAD4	57.14	['5', 'hsa-miR-34a-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'RRAGD', 'ARHGAP1', 'CNOT4', 'TXNIP', 'SMAD4']
DE in both: 	7.227	hsa-miR-130a-3p is UP, hsa-miR-26a-5p is not DE, hsa-miR-519d-3p is DOWN	66.67	5.113	hsa-miR-130a-3p is UP, hsa-miR-26a-5p is not DE, hsa-miR-519d-3p is not DE	33.33	C16orf70,HSPA8,SMAD4	75.00	['4', 'hsa-miR-26a-5p', 'hsa-miR-519d-3p', 'hsa-miR-130a-3p', 'HSPA8', 'C16orf70', 'SMAD4', 'NABP1']
DE in both: 	6.114	hsa-miR-130a-3p is UP, hsa-miR-16-5p is not DE, hsa-miR-195-5p is DOWN	66.67	4.000	hsa-miR-130a-3p is UP, hsa-miR-16-5p is not DE, hsa-miR-195-5p is not DE	33.33	ARHGAP12,FZD6,RPRD2	27.27	['11', 'hsa-miR-195-5p', 'hsa-miR-16-5p', 'hsa-miR-130a-3p', 'PPIG', 'ZMAT3', 'GPRC5A', 'SIK1', 'RPRD2', 'UBN2', 'CEP55', 'FZD6', 'PRKAA1', 'ARHGAP12', 'DICER1']
DE in both: 	6.084	hsa-miR-16-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-6739-5p is UP	66.67	3.971	hsa-miR-16-5p is not DE, hsa-miR-195-5p is not DE, hsa-miR-6739-5p is DOWN	33.33	CCND1,GRB2	60.00	['5', 'hsa-miR-195-5p', 'hsa-miR-16-5p', 'hsa-miR-6739-5p', 'MINK1', 'FURIN', 'GRB2', 'E2F3', 'CCND1']
DE in both: 	6.220	hsa-miR-130a-3p is UP, hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN	66.67	4.106	hsa-miR-130a-3p is UP, hsa-miR-15b-5p is not DE, hsa-miR-195-5p is not DE	33.33	ARHGAP12,FZD6,RPRD2	30.00	['10', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-130a-3p', 'PPIG', 'ZMAT3', 'GPRC5A', 'SIK1', 'RPRD2', 'UBN2', 'CEP55', 'FZD6', 'PRKAA1', 'ARHGAP12']
DE in both: 	6.227	hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-6739-5p is UP	66.67	4.113	hsa-miR-15b-5p is not DE, hsa-miR-195-5p is not DE, hsa-miR-6739-5p is DOWN	33.33	CCND1,GRB2	60.00	['4', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'hsa-miR-6739-5p', 'MINK1', 'FURIN', 'GRB2', 'CCND1']
DE in both: 	6.340	hsa-miR-130a-3p is UP, hsa-miR-195-5p is DOWN, hsa-miR-424-5p is not DE	66.67	4.227	hsa-miR-130a-3p is UP, hsa-miR-195-5p is not DE, hsa-miR-424-5p is not DE	33.33	ARHGAP12,FZD6,RPRD2	33.33	['9', 'hsa-miR-195-5p', 'hsa-miR-424-5p', 'hsa-miR-130a-3p', 'PPIG', 'ZMAT3', 'GPRC5A', 'RPRD2', 'UBN2', 'CEP55', 'FZD6', 'PRKAA1', 'ARHGAP12']
DE in both: 	6.340	hsa-miR-195-5p is DOWN, hsa-miR-424-5p is not DE, hsa-miR-6739-5p is UP	66.67	4.227	hsa-miR-195-5p is not DE, hsa-miR-424-5p is not DE, hsa-miR-6739-5p is DOWN	33.33	CCND1,GRB2	60.00	['3', 'hsa-miR-195-5p', 'hsa-miR-424-5p', 'hsa-miR-6739-5p', 'FURIN', 'GRB2', 'CCND1']
DE in both: 	6.633	hsa-miR-130a-3p is UP, hsa-miR-195-5p is DOWN, hsa-miR-519c-3p is not DE	66.67	4.520	hsa-miR-130a-3p is UP, hsa-miR-195-5p is not DE, hsa-miR-519c-3p is not DE	33.33	ARHGAP12,FZD6,RPRD2	42.86	['7', 'hsa-miR-195-5p', 'hsa-miR-130a-3p', 'hsa-miR-519c-3p', 'PPIG', 'RPRD2', 'UBN2', 'FZD6', 'PRKAA1', 'ARHGAP12', 'DICER1']
DE in both: 	6.114	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-195-5p is DOWN	66.67	4.000	hsa-miR-130a-3p is UP, hsa-miR-130b-3p is not DE, hsa-miR-195-5p is not DE	33.33	ARHGAP12,FZD6,RPRD2	27.27	['11', 'hsa-miR-195-5p', 'hsa-miR-130a-3p', 'hsa-miR-130b-3p', 'PPIG', 'ZMAT3', 'GPRC5A', 'SIK1', 'RPRD2', 'UBN2', 'CEP55', 'FZD6', 'PRKAA1', 'ARHGAP12', 'DICER1']
DE in both: 	6.340	hsa-miR-130a-3p is UP, hsa-miR-195-5p is DOWN, hsa-miR-497-5p is not DE	66.67	4.227	hsa-miR-130a-3p is UP, hsa-miR-195-5p is not DE, hsa-miR-497-5p is not DE	33.33	ARHGAP12,FZD6,RPRD2	33.33	['9', 'hsa-miR-195-5p', 'hsa-miR-130a-3p', 'hsa-miR-497-5p', 'PPIG', 'ZMAT3', 'GPRC5A', 'RPRD2', 'UBN2', 'CEP55', 'FZD6', 'PRKAA1', 'ARHGAP12']
DE in both: 	6.633	hsa-miR-130a-3p is UP, hsa-miR-195-5p is DOWN, hsa-miR-519b-3p is not DE	66.67	4.520	hsa-miR-130a-3p is UP, hsa-miR-195-5p is not DE, hsa-miR-519b-3p is not DE	33.33	ARHGAP12,FZD6,RPRD2	42.86	['7', 'hsa-miR-195-5p', 'hsa-miR-130a-3p', 'hsa-miR-519b-3p', 'PPIG', 'RPRD2', 'UBN2', 'FZD6', 'PRKAA1', 'ARHGAP12', 'DICER1']
